Name,Address 1,Address 2,City,Postal Code,Latitude,Longitude,State Code,Country Code,Distance,Phone
CHENEY ANIMAL CLINIC,1961 S 391ST ST W,null,CHENEY,67025,37.6550719,,KS,US,6.861072631013839,3165423401
HEARTLAND VETERINARY SERVICES,2800 N 247TH ST W,null,ANDALE,67001,37.7324368,,KS,US,10.832232350588072,3164442377
ANDALE ANIMAL CLINIC,PO BOX 186,null,ANDALE,67001,37.790567,,KS,US,10.863624766239417,3164442504
NINNESCAH VETERINARY SVC,13408 S MOHAWK RD,null,HUTCHINSON,67501,37.9005,,KS,US,13.953858336843405,6204597371
GODDARD VETERINARY CLINIC,PO BOX 735,null,GODDARD,67052,37.6597363,,KS,US,14.8858230959114,3167948022
ANIMAL CLINIC,538 E D AVE,null,KINGMAN,67068,37.6464688,,KS,US,17.113306113593005,6205323541
SWANEY VETRINARY CLINIC,1015 E US HWY 54,null,KINGMAN,67068,37.6468804,,KS,US,18.18476346954511,6205325544
OAKCREST PET HOSPITAL,11832 W CENTRAL AVE # 110,null,WICHITA,67212,37.6939909,,KS,US,19.12830066602118,3167224828
PRAIRIE RIDGE ANIMAL HOSPITAL,12506 W KELLOGG,null,WICHITA,67235,37.6650521,,KS,US,19.268459494230104,3162016292
COMPANION ANIMAL HOSPITAL,4590 N MAIZE RD STE 10,null,MAIZE,67101,37.7655124,,KS,US,19.677055371224117,3167226478
INDIAN HILLS ANIMAL CLINIC,1448 N MAIZE RD # 200,null,WICHITA,67212,37.7093965,,KS,US,19.910231729639477,3167226444
BOGUE ANIMAL HOSPITAL WEST,429 N MAIZE RD,null,WICHITA,67212,37.68772149999999,,KS,US,20.08467669660788,3167221085
COMPANION ANIMAL HOSPITAL,10555 MAPLE ST,null,WICHITA,67209,37.6792111,,KS,US,20.13356536749256,3167221921
CENTRAL KANSAS VETERINARY CENTER,515 W BLANCHARD AVE,null,S HUTCHINSON,67505,38.02720000000001,,KS,US,20.31615127956071,6206638387
BEST FRIENDS PET CLINIC,9424 W CENTRAL AVE,null,WICHITA,67212,37.6945475,,KS,US,20.58781223715666,3167294226
WEST WICHITA PET CLINIC,8615 W 21ST ST N,null,WICHITA,67205,37.722532,,KS,US,20.842323189970703,3167220100
ALL CREATURES VETERINARY HOSP,8414 W 13TH ST N # 170,null,WICHITA,67212,37.7101239,,KS,US,21.01949812649406,3167213993
HERNDON VETERINARY CLINIC,8820 W MAPLE ST,null,WICHITA,67209,37.6799057,,KS,US,21.185502097127337,3167226240
DAVID NOLAN VET SERVICES,11150 W 109TH ST N,null,SEDGWICK,null,37.8851159,,KS,US,21.223021946657244,3167083925
